image,awcrs310_add,unité,unité1,unité2,description,spanwcrs310_origine,image3,image4,image5,awcrs310_add2list
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622260&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,12                 ","                     0,75 € / l                 ","Boisson au thé Fresh Tea                     Mangue - 1,5L                  ",,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622254&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,12                 ","                     0,75 € / l                 ","Boisson au thé Fresh Tea                     Framboise - 1,5L                  ",,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622269&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,12                 ","                     0,75 € / l                 ",Boisson au thé vert Fresh Tea                     Menthe - 1.5L                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622257&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,99                 ","                     0,66 € / l                 ","Boisson au thé Fresh Tea                     Citron vert - 1,5L                  ",,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=26&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622251&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,04                 ","                     1,04 € / l                 ",Thé glacé Fresh Tea                     Pêche - 1L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=30&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622275&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,89                 ","                     0,89 € / l                 ",Boisson a base de thé Fresh Tea                     Pêche - 1L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=30&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622272&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,89                 ","                     0,89 € / l                 ",Boisson a base de thé Fresh Tea                     Thé vert saveur menthe 1L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=30&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622278&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,99                 ","                     0,99 € / l                 ",Boisson thé infusé Fresh Tea                     Passion - 1L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=30&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622239&use=l&cat=p&typeid=i,Ajouter Produit,                     2                 ,"                     ,49                 ","                     1,26 € / l                 ",Thé glacé Fresh Tea                     Pêche - Canette -  6x33cl                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=41&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2622263&use=l&cat=p&typeid=i,Ajouter Produit,                     2                 ,"                     ,29                 ","                     1,53 € / l                 ",Thé glacé Fresh Tea                     Pêche - 6x25cl                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=43&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2584011&use=l&cat=p&typeid=i,Ajouter Produit,                     0                 ,"                     ,98                 ","                     0,49 € / l                 ",Thé glacé pêche Eco                      2L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=25&mindim=33,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=24&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2366388&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,38                 ","                     1,38 € / l                 ",Thé glacé Bio Village                     Bio Pêche - 1L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,https://fd3-photos.leclercdrive.fr/PictoLabelQualite.ashx?id=10&mindim=25&v=2,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=30&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2366382&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,42                 ","                     1,42 € / l                 ",Thé glacé Bio Village                     Bio Menthe - 1L                  ,,https://fd3-photos.leclercdrive.fr/logohandler.ashx?logo=1&mindim=33,https://fd3-photos.leclercdrive.fr/PictoLabelQualite.ashx?id=10&mindim=25&v=2,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=30&mindim=46,"Ajouter à mes listes
 "
,,                     1                 ,"                     ,40                 ","1,12 € / l",                     Thé glacé Fuze Tea                     Pêche intense - 1.25L                 ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=28&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2331468&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,30                 ","                     1,67 € / l                 ",Thé glacé Fuze Tea                      Pêche Intense - 6x33cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=41&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2623819&use=l&cat=p&typeid=i,Ajouter Produit,                     7                 ,"                     ,16                 ","                     1,81 € / l                 ",Thé glacé Fuze tea                      Pêche intense - 12x33cl                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=41&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2532225&use=l&cat=p&typeid=i,Ajouter Produit,                     3                 ,"                     ,45                 ","                     2,16 € / l                 ",Thé glacé Fuze Tea                     Pêche Hibiscus - 4x400ml                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=1007&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2211116&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,73                 ","                     1,38 € / l                 ","Thé glacé Fuze Tea                      Pêche Hibiscus - 1,25L                  ",,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=28&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2433497&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,81                 ","                     1,03 € / l                 ","Thé glacé Fuze tea                     Saveur pêche - 1,75L                  ",,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=25&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2508325&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,64                 ","                     1,31 € / l                 ",Thé glacé Fuze Tea                     Framboise Menthe - 1.25L                  ,,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=28&mindim=46,"Ajouter à mes listes
 "
https://fd3-photos.leclercdrive.fr/image.ashx?id=2211119&use=l&cat=p&typeid=i,Ajouter Produit,                     1                 ,"                     ,70                 ","                     1,36 € / l                 ","Thé glacé Fuze Tea                      Menthe Citron vert - 1,25L                   ",,,,https://fd3-photos.leclercdrive.fr/VisuelEchelle.ashx?Id=28&mindim=46,"Ajouter à mes listes
 "
