web-scraper-order,web-scraper-start-url,Produit_titre,Prix
"1706543106-220","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","Pommes TENTATION",""
"1706543106-221","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","cat. 1",""
"1706543106-222","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","en vrac – à partir de 200g environ (soit 1 pomme)",""
"1706543106-223","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","FRANCE",""
"1706543106-224","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,50 €"
"1706543106-225","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","1,99 €/Kg"
"1706543106-226","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,22 €"
"1706543106-227","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,99 €/Kg"
"1706543106-228","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,39 €"
"1706543106-229","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,39 €/Pièce"
"1706543106-230","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,49 €"
"1706543106-231","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","1,25 €/Kg"
"1706543106-232","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,69 €"
"1706543106-233","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,69 €/Pièce"
"1706543106-234","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,89 €"
"1706543106-235","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,89 €/Pièce"
"1706543106-236","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,92 €"
"1706543106-237","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","3,69 €/Kg"
"1706543106-238","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,74 €"
"1706543106-239","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","3,69 €/Kg"
"1706543106-240","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","4,99 €"
"1706543106-241","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,50 €/Kg"
"1706543106-242","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,60 €"
"1706543106-243","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","4,29 €/Kg"
"1706543106-244","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,50 €"
"1706543106-245","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,49 €/Kg"
"1706543106-246","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,50 €"
"1706543106-247","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,49 €/Kg"
"1706543106-248","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","4,99 €"
"1706543106-249","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","2,50 €/Kg"
"1706543106-250","https://www.intermarche.com/rayons/fruits-et-legumes/fruits/7569","","0,37 €"
